Name,Google Trends,Wikipedia
Windows 95,Windows 95,Windows 95
Windows 98,Windows 98,Windows 98
Windows me,Windows me,Windows me
Windows XP,Windows XP,Windows XP
Windows Vista,Windows Vista,Windows Vista
Windows 7,Windows 7,Windows 7
Windows 8,Windows 8,Windows 8
Windows 81,Windows 8.1,Windows 81
Mac OS 8,Mac OS 8,Mac OS 8
Mac OS 9,Mac OS 9,Mac OS 9
RHEL 3,Red Hat Enterprise Linux 3,Red Hat Enterprise Linux
RHEL 4,Red Hat Enterprise Linux 4,Red Hat Enterprise Linux
RHEL 5,Red Hat Enterprise Linux 5,Red Hat Enterprise Linux
RHEL 6,Red Hat Enterprise Linux 6,Red Hat Enterprise Linux
BSD Unix,Berkeley Software Distribution,Berkeley Software Distribution
Solaris,Solaris,Solaris (operating system)
MSDOS,MS-DOS,MS-DOS
