Player/Operating System,Windows 95,Windows 98,Windows me,Windows XP,Windows Vista,Windows 7,Windows 8,Windows 81,Mac OS 8,Mac OS 9,RHEL 3,RHEL 4,RHEL 5,RHEL 6,BSD Unix,Solaris,MSDOS
ALLPlayer,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Core Pocket Media Player,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0
CrystalPlayer,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
DSPlayer,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
GOM Player,0,0,0,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0
iTunes,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
jetAudio,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
JRiver Media Center,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Kodi,1,1,1,0.5,1,1,1,1,1,1,0.5,0.5,1,1,1,0,0
KM Player,0,0,0,1,1,1,0.5,0.5,0.5,1,0,0,0,0,0,0,0
Mac Bluray Player,0,0,0,0.5,1,1,1,1,0.5,1,0,0,0,0,0,0,0
MediaPortal,0,0,0,1,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0
MPlayer,0.5,0.5,0.5,1,1,1,1,1,1,0.5,1,1,1,0.5,1,1,0
Mplayerxp,0,0,0,0.5,1,1,1,1,1,0.5,0.5,0.5,1,1,1,0.5,0
Plex Media Player,0,0,0,0,0,1,1,1,1,0,0,0,0.5,1,0,0,0
SMPlayer,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0
Songbird,0,0,0,0,1,1,0.5,0.5,1,0.5,0,0,0,0,0,0,0
Splash Lite,1,1,1,1,1,0.5,0,0,1,0.5,1,1,1,0.5,0.5,1,1
TotalMedia Theatre,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GNOME Videos,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,0,0
VLC media player,0,0.5,1,1,1,1,1,1,1,0.5,1,1,1,0.5,1,1,0
Winamp,1,1,1,1,1,0,0,0,1,0.5,0,0,0,0,0,0,1
Windows Media Player,0,0.5,1,1,1,1,1,1,1,0.5,0,0,0,0,0,0.5,0
Xine,1,1,0.5,0.5,0,0,0,0,0,0,0.5,1,1,1,1,1,1
