Name,Google Trends,Wikipedia,Github,SourceForge,Stack Exchange
ALLPlayer,ALLPlayer,ALLPlayer,,,
Core Pocket Media Player,Core Pocket Media Player,Core Pocket Media Player,,,
CrystalPlayer,CrystalPlayer,,,,
DSPlayer,DSPlayer,DSPlayer,,,
GOM Player,GOM Player,GOM Player,,,
iTunes,iTunes,iTunes,,,
jetAudio,jetAudio,jetAudio,,,
JRiver Media Center,JRiver,JRiver Media Center,,,
Kodi,Kodi media player,Kodi (software),,,
KM Player,KMPlayer,KMPlayer,,,
Mac Bluray Player,Mac Blu-ray Player,Mac Blu-ray Player,,,
MediaPortal,MediaPortal,MediaPortal,,,
MPlayer,MPlayer,MPlayer,,https://sourceforge.net/projects/mplayerwin/,
Mplayerxp,Mplayerxp,Mplayerxp,,https://sourceforge.net/projects/mplayerxp/,
Plex Media Player,Plex Media Player,Plex (software),https://github.com/plexinc/plex-media-player,,
SMPlayer,SMPlayer,SMPlayer,,http://smplayer.sourceforge.net/,
Songbird,Songbird Media Player,Songbird (software),,,
Splash Lite,Splash Lite,Splash Lite,,,
TotalMedia Theatre,TotalMedia Theatre,ArcSoft,,,
GNOME Videos,GNOME Videos,GNOME Videos,,,
VLC media player,VLC media player,VLC media player,,,
Winamp,Winamp,Winamp,,,
Windows Media Player,Windows Media Player,Windows Media Player,,,
Xine,Xine,Xine,,,
