,Windows 95,Windows 98,Windows me,Windows XP,Windows Vista,Windows 7,Windows 8,Windows 81,Mac OS 8,Mac OS 9,RHEL 3,RHEL 4,RHEL 5,RHEL 6,BSD Unix,Solaris,MSDOS
Windows 95,1,0.9,0.85,0.8,0.7,0.5,0.4,0.35,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7
Windows 98,0.9,1,0.9,0.8,0.75,0.6,0.5,0.45,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.65
Windows me,0.85,0.9,1,0.95,0.8,0.7,0.6,0.55,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
Windows XP,0.8,0.8,0.95,1,0.9,0.8,0.75,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5
Windows Vista,0.7,0.75,0.8,0.9,1,0.85,0.75,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4
Windows 7,0.5,0.6,0.7,0.8,0.85,1,0.9,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
Windows 8,0.4,0.5,0.6,0.75,0.75,0.9,1,0.95,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Windows 81,0.35,0.45,0.55,0.7,0.7,0.85,0.95,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Mac OS 8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.97,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mac OS 9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.97,1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RHEL 3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1,0.98,0.95,0.85,0.5,0.5,0.1
RHEL 4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.98,1,0.95,0.9,0.6,0.6,0.1
RHEL 5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.95,0.95,1,0.95,0.6,0.6,0.1
RHEL 6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.85,0.9,0.95,1,0.65,0.7,0.1
BSD Unix,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.6,0.6,0.65,1,0.9,0.1
Solaris,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.6,0.6,0.7,0.9,1,0.1
MSDOS,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1
