Weightdatabase,Apache Derby,DB2,LucidDB,Microsoft Access,MonetDB,MySQL,Paradox Database,PostgreSQL,solidDB,Superbase,Tibero
Apache Derby,1,0.9,0.7,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8
DB2,0.9,1,0.8,0.7,0.8,0.8,0.9,0.8,0.8,0.8,0.8
LucidDB,0.7,0.8,1,0.9,0.8,0.8,0.9,0.8,0.8,0.8,0.8
Microsoft Access,0.8,0.7,0.9,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8
MonetDB,0.8,0.8,0.8,0.8,1,0.5,0.8,0.5,0.7,0.6,0.5
MySQL,0.8,0.8,0.8,0.8,0.5,1,0.8,0.9,0.7,0.6,0.5
Paradox Database,0.8,0.9,0.9,0.8,0.8,0.8,1,0.8,0.8,0.8,0.8
PostgreSQL,0.8,0.8,0.8,0.8,0.5,0.9,0.8,1,0.8,0.7,0.5
solidDB,0.8,0.8,0.8,0.8,0.8,0.9,0.8,0.8,1,,0.8
Superbase,0.8,0.8,0.8,0.8,0.7,0.8,0.8,0.7,0.8,1,0.7
Tibero,0.8,0.8,0.8,0.8,0.5,0.5,0.8,0.5,0.5,0.6,1
