docformat,DocBook,DTD,HTML5,OpenDocument,OpenXPS,PDF,PostScript,RTF,Symbolic link,TeX,XHTML,WordPerfect
DocBook,1,0.9,0.8,0.7,0.6,0.5,0.5,0.5,0.7,0.8,0.9,0.9
DTD,0.9,1,0.9,0.8,0.7,0.5,0.5,0.5,0.6,0.7,0.8,0.8
HTML5,0.8,0.9,1,0.9,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.7
OpenDocument,0.7,0.8,0.9,1,0.9,0.5,0.5,0.5,0.5,0.5,0.5,0.6
OpenXPS,0.6,0.7,0.8,0.9,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5
PDF,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.7,0.6,0.5,0.6
PostScript,0.5,0.5,0.5,0.5,0.5,0.5,1,0.9,0.7,0.6,0.5,0.7
RTF,0.5,0.5,0.5,0.5,0.5,0.5,0.9,1,0.8,0.7,0.5,0.8
Symbolic link,0.7,0.6,0.5,0.5,0.7,0.8,0.9,0.8,1,,0.8,0.9
TeX,0.8,0.7,0.5,0.5,0.6,0.7,0.8,0.7,0.8,1,0.7,0.7
XHTML,0.9,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,1,0.6
WordPerfect,0.5,0.5,0.5,0.5,0.8,0.7,0.6,0.8,0.7,0.6,0.8,1
