Name,Google Trends,Wikipedia,Sourceforge
Adobe ColdFusion,Adobe ColdFusion,Adobe ColdFusion,
AppleScript,AppleScript,AppleScript,
CoffeeScript,CoffeeScript,CoffeeScript,
Jcl,Jcl,Job Control Language,
Lisp,Lisp,Lisp (programming language),
Lua,Lua,Lua (programming language),
Oraperl,Oraperl,Oraperl,
Perl Data Language,Perl Data Language,Perl Data Language,https://sourceforge.net/projects/pdl/
PHP,PHP,PHP,
PowerShell,PowerShell,PowerShell,
Scheme,Scheme,Scheme (programming language),
VBScript,VBScript,VBScript,
Winbatch,Winbatch,Winbatch,
